Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2014-01-31,Adelaide,15.5,25.8,0.0,4.4,,SE,26.0,S,S,13.0,13.0,73.0,45.0,1013.0,1012.8,5.0,2.0,20.0,23.1,No,No
2014-02-01,Canberra,11.9,24.4,3.2,,7.3,NW,31.0,SE,NW,21.0,20.0,96.0,92.0,1014.4,1019.0,8.0,8.0,13.7,23.4,Yes,Yes
2014-02-02,Melbourne,18.7,32.7,0.1,,7.4,NE,54.0,E,S,30.0,33.0,65.0,45.0,1025.8,1027.4,5.0,3.0,25.0,32.6,No,No
2014-02-03,Melbourne,15.4,29.8,6.7,6.1,9.6,NW,49.0,NE,N,22.0,41.0,95.0,84.0,1016.6,1020.1,6.0,5.0,17.9,27.8,Yes,Yes
2014-02-04,Brisbane,10.9,26.5,1.1,6.4,6.0,S,33.0,SW,N,19.0,19.0,78.0,52.0,1021.7,1021.0,8.0,,17.1,23.2,Yes,No
2014-02-05,Sydney,26.7,42.7,4.2,7.8,2.0,E,20.0,W,N,14.0,13.0,96.0,72.0,1010.3,1005.7,8.0,5.0,29.7,38.8,Yes,Yes
2014-02-06,Sydney,17.0,30.0,8.2,,4.4,SW,30.0,NNE,SE,13.0,22.0,76.0,61.0,1015.3,1017.0,5.0,4.0,21.1,28.7,Yes,No
2014-02-07,Brisbane,2.7,22.3,10.4,,6.6,NNE,35.0,NW,SW,14.0,14.0,41.0,10.0,1000.0,1002.9,3.0,0.0,6.5,19.9,Yes,No
2014-02-08,Melbourne,15.8,26.9,2.8,6.6,10.1,E,33.0,SE,SW,23.0,25.0,73.0,60.0,1015.2,1013.5,7.0,6.0,20.7,23.3,Yes,Yes
2014-02-09,Perth,15.7,36.9,0.0,5.5,8.3,NE,42.0,S,NE,29.0,30.0,66.0,42.0,1015.8,1015.2,,3.0,18.2,31.9,No,No
2014-02-10,Brisbane,25.7,40.7,0.0,6.6,6.1,N,22.0,N,E,15.0,17.0,49.0,41.0,1027.7,1021.1,4.0,,30.7,36.1,No,No
2014-02-11,Adelaide,14.9,26.6,6.5,,5.6,SE,37.0,NNE,E,17.0,31.0,59.0,40.0,1023.3,1022.8,4.0,4.0,18.5,25.1,Yes,Yes
2014-02-12,Perth,23.1,38.0,0.0,7.3,6.0,E,23.0,N,N,15.0,15.0,60.0,54.0,1013.2,1009.4,4.0,6.0,28.5,35.9,No,No
2014-02-13,Melbourne,18.8,35.2,1.0,4.7,0.7,SW,34.0,SE,W,15.0,25.0,70.0,55.0,1008.9,1010.4,4.0,4.0,23.1,30.6,No,Yes
2014-02-14,Adelaide,7.5,20.9,7.5,,,SW,73.0,N,NE,43.0,61.0,90.0,76.0,1006.5,1007.5,7.0,8.0,13.2,18.1,Yes,Yes
2014-02-15,Adelaide,5.0,20.6,0.5,5.9,9.4,N,53.0,NE,E,21.0,41.0,30.0,10.0,1012.7,1012.8,1.0,1.0,11.3,20.6,No,No
2014-02-16,Melbourne,25.7,40.7,0.0,,7.2,S,45.0,SE,SW,23.0,30.0,38.0,30.0,1024.1,1028.1,2.0,2.0,29.2,37.1,No,No
2014-02-17,Melbourne,23.8,37.4,1.1,3.3,6.7,W,33.0,N,SW,23.0,15.0,93.0,47.0,1017.5,1018.2,8.0,5.0,26.0,35.1,Yes,No
2014-02-18,Perth,21.4,31.2,5.2,,9.5,NNE,29.0,SW,S,10.0,17.0,80.0,78.0,1016.5,1017.1,,7.0,22.8,27.4,Yes,No
2014-02-19,Sydney,27.2,40.5,0.4,6.6,5.0,NE,37.0,NW,NE,15.0,30.0,71.0,54.0,1020.5,1021.5,7.0,5.0,30.3,36.0,No,Yes
2014-02-20,Sydney,25.3,41.5,4.5,5.4,3.8,E,23.0,W,E,14.0,10.0,57.0,39.0,1006.3,1004.5,6.0,,29.8,39.6,Yes,No
2014-02-21,Sydney,21.8,36.0,0.0,1.0,,W,46.0,N,SW,31.0,37.0,70.0,50.0,1010.0,,6.0,4.0,27.0,33.6,No,No
2014-02-22,Adelaide,13.3,26.0,0.0,3.2,5.9,S,36.0,SE,,19.0,24.0,63.0,53.0,1018.6,,6.0,3.0,18.2,23.8,No,No
2014-02-23,Perth,26.8,42.1,1.1,6.4,5.5,S,39.0,NE,S,25.0,29.0,62.0,44.0,1009.1,1010.4,4.0,3.0,28.9,40.2,Yes,Yes
2014-02-24,Perth,18.8,33.8,8.5,,9.7,SW,25.0,NE,E,18.0,14.0,65.0,56.0,1000.9,1004.6,7.0,4.0,22.7,31.4,Yes,Yes
2014-02-25,Adelaide,12.9,31.1,0.7,5.4,4.5,SE,39.0,NE,S,25.0,21.0,56.0,22.0,1007.1,1004.1,6.0,2.0,18.5,28.0,No,No
2014-02-26,Brisbane,10.6,24.8,0.4,4.7,5.7,S,35.0,SW,NW,19.0,30.0,100.0,91.0,1022.2,1018.2,8.0,,16.3,24.8,No,Yes
2014-02-27,Brisbane,21.6,35.9,0.4,7.8,9.2,NNE,27.0,NE,SW,16.0,18.0,65.0,51.0,1012.2,1009.1,7.0,4.0,26.2,31.5,No,No
2014-02-28,Sydney,6.1,20.3,4.4,5.7,6.3,,44.0,SE,SW,21.0,31.0,95.0,87.0,1014.8,1020.3,8.0,8.0,7.9,16.0,Yes,No
2014-03-01,Sydney,23.9,39.1,5.8,7.3,1.8,S,38.0,NNE,SE,15.0,31.0,81.0,74.0,1005.4,1003.6,8.0,6.0,27.5,38.2,Yes,Yes
2014-03-02,Perth,8.9,25.3,8.1,5.2,10.5,S,48.0,E,NW,20.0,29.0,85.0,84.0,1014.4,1010.8,8.0,8.0,9.9,24.7,Yes,Yes
2014-03-03,Brisbane,22.5,38.4,14.8,5.0,0.4,SE,57.0,SE,NNE,30.0,25.0,96.0,74.0,1007.2,1008.3,8.0,8.0,27.6,34.8,Yes,Yes
2014-03-04,Brisbane,16.1,25.9,3.3,7.1,6.1,S,28.0,E,SW,13.0,14.0,100.0,92.0,1016.8,1008.6,8.0,,19.4,21.1,Yes,Yes
2014-03-05,Adelaide,15.2,34.4,0.1,,9.3,S,39.0,SW,SE,14.0,27.0,77.0,70.0,1011.6,1008.7,6.0,3.0,17.3,33.7,No,Yes
2014-03-06,Perth,15.4,26.0,1.5,4.9,14.0,NW,40.0,NE,N,20.0,30.0,60.0,54.0,1017.9,,5.0,3.0,17.7,21.9,Yes,No
2014-03-07,Brisbane,15.7,28.5,0.0,3.4,6.8,NW,53.0,NNE,N,37.0,33.0,63.0,45.0,1011.3,1008.4,4.0,5.0,16.8,23.7,No,Yes
2014-03-08,Brisbane,32.9,47.0,2.5,,4.4,NE,50.0,SW,SW,19.0,34.0,96.0,80.0,1013.4,1012.7,8.0,7.0,39.0,42.9,Yes,Yes
2014-03-09,Melbourne,27.1,40.9,0.0,2.6,9.5,NNE,34.0,W,W,24.0,24.0,20.0,10.0,1013.1,1014.0,2.0,0.0,28.1,38.1,No,No
2014-03-10,Sydney,18.7,35.6,8.1,,11.4,SE,39.0,NNE,NNE,16.0,16.0,96.0,88.0,1011.9,1012.8,8.0,8.0,21.8,31.0,Yes,Yes
2014-03-11,Brisbane,17.6,35.7,2.9,6.5,7.4,SW,42.0,S,W,22.0,26.0,87.0,68.0,1015.8,,8.0,,22.4,35.6,Yes,Yes
2014-03-12,Sydney,26.1,41.8,10.7,2.4,3.4,N,33.0,SW,N,23.0,26.0,83.0,75.0,1007.3,1008.9,7.0,6.0,32.1,37.4,Yes,Yes
2014-03-13,Brisbane,29.2,42.3,5.6,,7.2,S,31.0,NW,N,12.0,13.0,87.0,71.0,1011.9,1016.3,7.0,5.0,35.9,38.8,Yes,No
2014-03-14,Canberra,15.5,31.6,5.0,6.6,0.0,E,36.0,W,W,21.0,26.0,92.0,78.0,1014.3,1011.1,8.0,8.0,18.2,29.7,Yes,No
2014-03-15,Melbourne,20.6,32.8,0.0,8.7,6.2,NW,9.0,SE,S,6.0,6.0,48.0,50.0,1018.6,1017.1,2.0,3.0,21.6,28.5,No,Yes
2014-03-16,Sydney,5.5,17.2,4.4,7.8,1.0,,30.0,SW,E,17.0,21.0,96.0,61.0,1012.7,1012.4,6.0,7.0,10.9,13.6,Yes,Yes
2014-03-17,Melbourne,27.5,44.1,14.6,,1.8,NE,46.0,W,NE,17.0,37.0,100.0,79.0,1003.0,1005.1,8.0,7.0,31.5,40.2,Yes,Yes
2014-03-18,Melbourne,34.8,46.0,0.8,6.3,,W,72.0,W,NW,41.0,57.0,69.0,52.0,1015.3,1015.4,6.0,6.0,38.3,44.6,No,No
2014-03-19,Perth,21.0,31.8,6.9,7.4,0.0,W,36.0,E,E,15.0,28.0,89.0,71.0,1016.9,1016.5,7.0,7.0,26.3,28.9,Yes,Yes
2014-03-20,Brisbane,1.3,15.5,0.0,,8.5,E,46.0,SE,E,24.0,27.0,83.0,47.0,1005.7,1001.0,4.0,4.0,8.2,13.7,No,No
2014-03-21,Adelaide,25.4,36.7,0.0,5.1,9.9,NNE,36.0,,NNE,16.0,17.0,100.0,74.0,1005.7,1002.4,7.0,7.0,27.8,33.5,No,Yes
2014-03-22,Perth,13.7,26.2,1.7,,6.8,N,45.0,S,SW,29.0,32.0,85.0,67.0,1009.7,1010.3,8.0,6.0,18.5,22.5,Yes,Yes
2014-03-23,Brisbane,14.4,27.7,0.4,6.6,3.3,SW,25.0,NE,E,17.0,19.0,86.0,78.0,1013.5,1011.9,8.0,5.0,19.0,24.4,No,Yes
2014-03-24,Adelaide,26.3,39.0,0.0,6.4,11.8,N,19.0,E,W,8.0,9.0,73.0,64.0,999.6,998.6,7.0,6.0,31.0,34.7,No,No
2014-03-25,Sydney,18.2,37.7,0.4,7.4,13.5,SW,55.0,N,W,33.0,40.0,100.0,100.0,1018.8,1018.7,7.0,8.0,22.4,37.1,No,Yes
2014-03-26,Sydney,17.9,34.0,3.9,6.2,7.8,N,25.0,NE,S,17.0,18.0,53.0,42.0,1012.2,1019.2,4.0,5.0,24.8,31.3,Yes,No
2014-03-27,Sydney,13.3,26.2,7.0,4.4,4.5,SE,61.0,SW,S,32.0,40.0,56.0,35.0,995.7,994.2,4.0,5.0,15.8,23.5,Yes,No
2014-03-28,Adelaide,19.1,32.1,4.3,4.8,5.5,NW,37.0,NNE,NNE,27.0,29.0,83.0,62.0,1005.5,1009.7,6.0,6.0,25.3,28.3,Yes,Yes
2014-03-29,Brisbane,14.3,31.8,4.6,4.3,7.7,E,32.0,SW,NW,14.0,26.0,93.0,72.0,1011.1,1015.0,7.0,8.0,19.2,29.4,Yes,Yes
2014-03-30,Sydney,10.3,23.0,1.9,4.7,7.6,E,33.0,N,NW,13.0,16.0,28.0,18.0,1001.8,1004.3,2.0,,16.8,21.7,Yes,No
2014-03-31,Brisbane,15.1,30.6,0.0,,,NW,57.0,SE,E,24.0,27.0,70.0,49.0,1021.8,1019.3,4.0,5.0,20.8,29.4,No,No
2014-04-01,Sydney,21.8,37.4,1.6,4.2,8.8,SE,31.0,N,W,22.0,14.0,71.0,48.0,1015.7,1016.1,8.0,,26.8,35.7,Yes,No
2014-04-02,Perth,17.8,35.0,2.6,8.0,4.9,SW,35.0,W,SW,21.0,29.0,90.0,97.0,1018.7,1017.5,7.0,8.0,19.1,32.9,Yes,Yes
2014-04-03,Brisbane,7.9,21.8,7.3,3.7,3.0,NW,56.0,SW,NNE,22.0,26.0,96.0,78.0,1004.9,1010.9,7.0,7.0,12.5,18.4,Yes,Yes
2014-04-04,Melbourne,25.5,42.3,12.2,6.2,2.9,SW,53.0,SW,NNE,27.0,34.0,68.0,32.0,1013.0,1014.2,3.0,3.0,27.8,40.2,Yes,Yes
2014-04-05,Melbourne,-0.3,16.0,3.5,7.5,8.2,NE,66.0,NE,E,31.0,29.0,59.0,47.0,1009.0,1008.3,6.0,4.0,2.8,14.9,Yes,No
2014-04-06,Perth,17.6,33.7,6.6,6.7,1.0,SW,57.0,SE,E,40.0,38.0,72.0,82.0,1011.0,1016.4,4.0,,21.0,33.0,Yes,Yes
2014-04-07,Melbourne,16.1,28.1,0.0,,7.3,E,30.0,S,E,15.0,18.0,83.0,76.0,,1016.4,8.0,8.0,22.3,24.6,No,Yes
2014-04-08,Sydney,20.8,37.0,1.1,6.1,7.5,NE,54.0,S,S,21.0,28.0,79.0,83.0,1014.1,1015.7,5.0,7.0,27.5,36.4,Yes,Yes
2014-04-09,Sydney,25.8,39.9,1.8,4.2,5.9,N,16.0,,SE,6.0,12.0,63.0,55.0,1019.9,1022.0,5.0,6.0,31.4,38.4,Yes,No
2014-04-10,Canberra,27.3,39.7,4.2,3.0,10.8,NNE,51.0,SW,SE,29.0,31.0,83.0,80.0,1014.3,1015.4,5.0,,29.2,38.6,Yes,Yes
2014-04-11,Canberra,16.9,29.9,12.4,6.1,7.3,E,40.0,S,NW,16.0,25.0,82.0,58.0,1006.8,1006.5,7.0,5.0,20.3,29.5,Yes,Yes
2014-04-12,Perth,22.6,39.4,3.2,,8.1,NNE,48.0,NE,SE,36.0,40.0,100.0,77.0,1019.6,1022.1,8.0,5.0,23.6,35.0,Yes,No
2014-04-13,Melbourne,19.0,33.4,0.0,6.2,,NNE,62.0,NE,NW,44.0,33.0,80.0,62.0,1022.4,1020.5,7.0,4.0,25.1,33.0,No,No
2014-04-14,Canberra,6.5,21.4,4.6,8.7,9.0,S,22.0,NE,NW,12.0,18.0,96.0,69.0,1013.8,1017.1,8.0,5.0,8.3,20.3,Yes,No
2014-04-15,Adelaide,30.9,46.6,0.9,6.4,8.1,SW,50.0,NE,W,31.0,39.0,97.0,88.0,,1023.2,8.0,5.0,35.8,45.7,No,Yes
2014-04-16,Perth,11.7,25.9,4.1,,5.1,SE,51.0,NE,SE,22.0,24.0,99.0,83.0,1011.7,1015.7,8.0,7.0,15.9,21.6,Yes,Yes
2014-04-17,Brisbane,24.3,32.7,5.1,5.1,5.0,S,50.0,SE,S,18.0,28.0,83.0,46.0,1012.1,1015.2,5.0,3.0,26.8,28.2,Yes,Yes
2014-04-18,Melbourne,20.2,36.4,0.0,7.6,9.1,NE,26.0,S,NW,9.0,14.0,67.0,46.0,1015.0,1016.7,8.0,2.0,24.7,33.6,No,No
2014-04-19,Sydney,18.7,33.0,1.7,5.1,6.3,NNE,38.0,SE,E,22.0,28.0,97.0,77.0,1013.4,1013.2,8.0,,21.6,29.5,Yes,Yes
2014-04-20,Canberra,13.8,31.3,1.8,4.9,2.8,NNE,28.0,NW,N,12.0,14.0,75.0,68.0,1012.1,1015.4,6.0,7.0,16.7,27.1,Yes,Yes
2014-04-21,Brisbane,23.4,40.8,3.2,,5.7,W,46.0,S,SW,29.0,24.0,64.0,54.0,1008.7,1010.4,7.0,8.0,25.2,39.2,Yes,Yes
2014-04-22,Sydney,6.3,22.6,0.1,4.0,,NE,22.0,N,W,14.0,16.0,100.0,95.0,,998.4,8.0,8.0,10.6,20.0,No,Yes
2014-04-23,Melbourne,16.6,33.3,0.0,7.6,0.3,E,33.0,SE,W,24.0,25.0,53.0,21.0,1015.8,1013.3,6.0,1.0,22.9,33.3,No,Yes
2014-04-24,Brisbane,13.1,28.0,12.3,4.8,7.9,NE,55.0,NNE,NNE,36.0,40.0,69.0,70.0,1018.5,1019.0,4.0,6.0,16.2,26.7,Yes,Yes
2014-04-25,Sydney,12.2,27.1,2.8,,8.8,W,31.0,S,SW,18.0,20.0,95.0,71.0,1019.6,1020.4,8.0,7.0,16.6,24.5,Yes,Yes
2014-04-26,Canberra,23.8,38.3,0.0,7.0,7.3,S,33.0,NNE,S,16.0,24.0,57.0,36.0,1017.7,1019.8,6.0,3.0,27.1,36.6,No,No
2014-04-27,Adelaide,28.4,37.8,0.5,3.6,8.7,N,28.0,W,N,20.0,18.0,79.0,80.0,1023.6,1028.2,7.0,6.0,31.1,37.1,No,No
2014-04-28,Perth,16.6,32.9,12.8,4.2,6.4,S,51.0,N,S,22.0,40.0,100.0,74.0,1010.0,1011.8,8.0,,20.6,32.5,Yes,Yes
2014-04-29,Brisbane,23.4,39.8,8.7,,5.0,SW,43.0,SE,SE,19.0,31.0,67.0,55.0,1004.6,998.3,6.0,2.0,25.9,35.6,Yes,Yes
2014-04-30,Perth,16.8,36.5,0.2,6.3,10.8,SW,29.0,SW,NW,18.0,20.0,70.0,68.0,1012.5,1013.0,4.0,7.0,22.0,32.7,No,No
2014-05-01,Perth,12.7,24.8,0.0,5.2,,S,30.0,SE,NW,23.0,21.0,97.0,78.0,1014.6,1018.2,8.0,,19.2,20.9,No,No
2014-05-02,Perth,17.5,31.2,0.0,6.6,,SW,40.0,NW,NE,15.0,21.0,82.0,75.0,1011.4,1011.7,7.0,8.0,21.0,27.7,No,Yes
2014-05-03,Sydney,14.1,27.1,7.9,,,N,32.0,NNE,N,24.0,21.0,86.0,74.0,1016.1,1016.7,7.0,,19.1,26.2,Yes,No
2014-05-04,Brisbane,14.4,31.2,0.7,5.8,7.5,,38.0,S,NE,19.0,32.0,100.0,90.0,1021.3,1019.8,7.0,8.0,16.9,27.5,No,Yes
2014-05-05,Sydney,18.8,37.1,0.0,4.8,1.9,SW,38.0,S,NW,23.0,32.0,68.0,62.0,1002.9,1005.7,5.0,4.0,22.9,34.3,No,Yes
2014-05-06,Brisbane,21.2,35.2,0.5,5.9,9.1,N,40.0,SE,,25.0,18.0,79.0,75.0,1013.8,1012.7,8.0,4.0,25.8,35.2,No,No
2014-05-07,Melbourne,7.2,23.3,3.1,4.2,5.6,NW,34.0,N,N,20.0,20.0,100.0,77.0,993.4,995.2,,4.0,13.3,23.0,Yes,No
2014-05-08,Sydney,6.5,19.2,1.6,5.9,5.6,S,47.0,NW,E,33.0,23.0,92.0,73.0,1013.7,1015.0,8.0,5.0,11.6,18.1,Yes,No
2014-05-09,Sydney,21.6,36.2,8.9,5.7,6.9,W,57.0,SW,E,27.0,42.0,100.0,82.0,1010.7,1010.9,8.0,5.0,24.3,32.2,Yes,Yes
2014-05-10,Perth,14.6,29.0,3.2,4.1,3.1,NW,48.0,W,,31.0,32.0,62.0,50.0,1026.2,,5.0,4.0,20.2,26.0,Yes,Yes
2014-05-11,Sydney,20.9,31.0,3.8,4.7,7.0,N,44.0,NW,N,25.0,35.0,100.0,84.0,1023.8,1024.4,6.0,6.0,27.0,28.1,Yes,Yes
2014-05-12,Canberra,23.6,41.3,6.2,5.2,4.8,NW,26.0,E,N,17.0,12.0,89.0,81.0,1019.0,1022.9,8.0,,27.9,36.3,Yes,No
2014-05-13,Perth,9.3,26.3,5.9,7.3,5.4,SW,63.0,E,SE,44.0,43.0,71.0,64.0,1005.9,1008.0,6.0,,13.7,23.8,Yes,Yes
2014-05-14,Melbourne,5.3,25.8,0.5,4.3,8.7,N,39.0,NNE,N,20.0,24.0,75.0,43.0,1007.7,1010.8,,4.0,10.4,23.5,No,No
2014-05-15,Perth,31.3,46.0,0.0,4.1,13.5,N,42.0,SW,N,15.0,28.0,73.0,50.0,1007.3,1005.0,3.0,3.0,35.1,43.7,No,No
2014-05-16,Sydney,19.9,32.6,2.8,,8.2,E,32.0,NE,W,21.0,24.0,100.0,91.0,1024.5,1022.1,8.0,7.0,24.3,31.0,Yes,Yes
2014-05-17,Canberra,16.5,29.4,2.3,6.8,11.3,NE,37.0,E,W,15.0,29.0,83.0,83.0,1007.7,1007.9,7.0,7.0,21.6,28.3,Yes,No
2014-05-18,Brisbane,7.4,22.0,3.2,,11.1,NE,55.0,W,N,25.0,22.0,64.0,66.0,1011.0,1013.3,6.0,5.0,10.1,21.6,Yes,No
2014-05-19,Adelaide,11.1,29.9,3.6,6.5,,SW,50.0,NE,W,29.0,39.0,61.0,52.0,1007.3,1008.9,6.0,4.0,12.6,28.4,Yes,No
2014-05-20,Sydney,5.1,20.2,11.5,7.2,0.0,NNE,43.0,SW,NE,18.0,37.0,98.0,82.0,1001.6,999.4,8.0,8.0,8.0,19.7,Yes,Yes
2014-05-21,Brisbane,20.0,40.4,1.2,,6.9,,57.0,W,N,40.0,43.0,49.0,32.0,1016.9,1019.2,5.0,1.0,23.4,39.6,Yes,No
2014-05-22,Brisbane,11.8,23.6,3.8,5.9,3.4,SW,29.0,SE,NNE,13.0,14.0,67.0,50.0,1014.6,1012.7,,5.0,18.2,20.7,Yes,No
2014-05-23,Canberra,22.5,36.0,0.0,4.1,14.0,NW,18.0,S,E,9.0,10.0,66.0,47.0,999.4,1001.4,6.0,7.0,29.0,34.9,No,No
2014-05-24,Brisbane,14.3,24.7,0.0,,5.0,E,15.0,N,S,9.0,7.0,62.0,58.0,1005.9,1006.7,6.0,5.0,19.0,23.9,No,No
2014-05-25,Brisbane,6.2,25.2,2.1,3.2,,S,49.0,SE,E,20.0,42.0,88.0,58.0,1016.0,1015.3,8.0,4.0,7.8,22.6,Yes,Yes
2014-05-26,Melbourne,13.3,25.2,0.0,6.4,0.0,W,30.0,W,NE,18.0,17.0,57.0,44.0,1014.5,1012.9,6.0,1.0,15.1,25.2,No,No
2014-05-27,Melbourne,-2.0,9.8,4.8,4.6,3.2,NE,40.0,N,SE,14.0,32.0,37.0,19.0,,1010.7,6.0,1.0,-1.0,6.9,Yes,No
2014-05-28,Brisbane,12.2,27.0,4.0,6.0,7.0,SW,54.0,S,NE,34.0,41.0,50.0,41.0,1017.7,1017.9,5.0,4.0,15.8,25.1,Yes,No
2014-05-29,Brisbane,12.2,27.6,0.3,5.6,11.2,NW,42.0,,NNE,21.0,24.0,70.0,52.0,1004.8,1001.7,6.0,4.0,17.2,26.2,No,No
2014-05-30,Sydney,18.2,39.6,1.4,5.3,4.3,E,25.0,E,W,16.0,13.0,63.0,27.0,1010.3,1012.1,5.0,2.0,24.9,39.2,Yes,No
2014-05-31,Adelaide,4.5,16.8,8.0,6.1,8.7,SE,64.0,S,E,24.0,39.0,68.0,63.0,1015.4,1018.9,6.0,5.0,6.9,15.6,Yes,No
